ip1	,25819.019531,2762635
ip2	,30824.000000,339064
ip3	,72209.000000,72209
ip4	,0.000000,0
ip5	,12550.000000,25100
ip6	,12550.000000,100400
ip7	,17620.000000,70480
ip8	,24088.875000,192711
ip9	,12550.000000,12550
ip10	,277.000000,554
ip11	,6518.500000,13037
ip12	,35950.910156,395460
ip13	,77170.304688,5016070
ip14	,33874.601563,338746
ip15	,1477.000000,1477
ip16	,95122.859375,12080603
ip17	,113135.601563,565678
ip18	,6745.000000,6745
ip19	,111604.250000,892834
ip20	,2433547.000000,2433547
ip21	,303.500000,607
ip22	,12550.000000,12550
ip23	,16248.000000,16248
ip24	,12550.000000,62750
ip25	,12550.000000,112950
ip26	,0.000000,0
ip27	,13920.608398,960522
ip28	,143.000000,286
ip29	,286.000000,286
ip30	,5057.375000,40459
ip31	,108932.976563,4684118
ip32	,57503.105469,16273379
ip33	,1363.166626,8179
ip34	,0.000000,0
ip35	,0.000000,0
ip36	,29793.666016,89381
ip37	,16409.427734,689196
ip38	,318.000000,318
ip39	,12550.000000,50200
ip40	,12550.000000,62750
ip41	,4964.437500,79431
ip42	,6412.000000,12824
ip43	,6245.517090,362240
ip44	,12550.000000,25100
ip45	,33874.601563,338746
ip46	,127.111115,1144
ip47	,7383.000000,7383
ip48	,24009.455078,264104
ip49	,105424.000000,105424
ip50	,81083.000000,81083
ip51	,72090.000000,72090
ip52	,6412.000000,12824
ip53	,22814.000000,22814
ip54	,403.250000,3226
ip55	,22814.000000,22814
ip56	,5688.000000,68256
ip57	,81083.000000,162166
ip58	,6412.000000,51296
ip59	,1645.666626,9874
ip60	,12550.000000,62750
ip61	,81083.000000,81083
ip62	,80023.398438,800234
ip63	,33874.601563,338746
ip64	,321725.000000,321725
ip65	,308.000000,308
ip66	,81083.000000,81083
ip67	,3352.500000,6705
ip68	,29514.000000,59028
ip69	,31679.000000,316790
ip70	,36928.000000,36928
ip71	,14684.875000,117479
ip72	,81083.000000,81083
ip73	,27484.714844,192393
ip74	,81083.000000,81083
ip75	,0.000000,0
ip76	,81083.000000,81083
ip77	,81083.000000,81083
ip78	,81083.000000,81083
ip79	,22814.000000,22814
ip80	,81083.000000,81083
ip81	,296.000000,592
ip82	,12550.000000,12550
ip83	,17620.000000,70480
ip84	,9622.454102,105847
ip85	,81083.000000,81083
ip86	,5066.875000,121605
ip87	,31679.000000,316790
ip88	,81083.000000,81083
ip89	,19659.630859,373533
ip90	,286.000000,572
ip91	,81083.000000,81083
ip92	,1847926.000000,3695852
ip93	,505197.500000,2020790
ip94	,277.000000,554
ip95	,8315.750000,33263
ip96	,12550.000000,25100
ip97	,12550.000000,62750
ip98	,2128.166748,12769
ip99	,12388.347656,284932
ip100	,4166.399902,41664
ip101	,12550.000000,163150
ip102	,37107.000000,37107
ip103	,4234.100098,42341
ip104	,4628.500000,27771
ip105	,3882.750000,15531
ip106	,21574.666016,129448
ip107	,31679.000000,316790
ip108	,1370.666626,4112
ip109	,12550.000000,138050
ip110	,25101.000000,25101
ip111	,81083.000000,81083
ip112	,304336.375000,2434691
ip113	,38496.000000,38496
ip114	,12550.000000,62750
ip115	,12550.000000,50200
ip116	,81083.000000,81083
ip117	,12550.000000,12550
ip118	,44679.273438,491472
ip119	,114.400002,572
ip120	,54590.667969,327544
ip121	,69181.000000,69181
ip122	,95.333336,286
ip123	,114.400002,572
ip124	,276.666656,830
ip125	,12550.000000,62750
ip126	,23198.505859,2064667
ip127	,12550.000000,12550
ip128	,109969.289063,3409048
ip129	,32582.000000,390984
ip130	,9829.500000,19659
ip131	,7207.000000,14414
ip132	,15413.000000,61652
ip133	,8586.000000,17172
ip134	,10571.400391,52857
ip135	,9335.000000,28005
ip136	,30824.000000,339064
ip137	,12550.000000,12550
ip138	,12550.000000,50200
ip139	,8429.000000,33716
ip140	,20993.644531,4849532
ip141	,111604.250000,446417
ip142	,0.000000,0
ip143	,143.000000,286
ip144	,12550.000000,12550
ip145	,9074.500000,18149
ip146	,30824.000000,339064
ip147	,27818.083984,3977986
ip148	,5164.666504,15494
ip149	,338171.250000,1352685
ip150	,5057.375000,40459
ip151	,25572.375000,409158
ip152	,33874.601563,338746
ip153	,20734.166016,373215
ip154	,143.000000,286
ip155	,31152.625000,249221
ip156	,12550.000000,25100
ip157	,12550.000000,12550
ip158	,10529.000000,10529
ip159	,12550.000000,313750
ip160	,33874.601563,338746
ip161	,6412.000000,12824
ip162	,294.000000,294
ip163	,145223.250000,1742679
ip164	,6877.000000,20631
ip165	,277.000000,1108
ip166	,0.000000,0
ip167	,12550.000000,62750
ip168	,26399.000000,211192
ip169	,4765.872559,262123
ip170	,30824.000000,339064
ip171	,12550.000000,37650
ip172	,12550.000000,50200
ip173	,130482.000000,130482
ip174	,81083.000000,81083
ip175	,5285.000000,26425
ip176	,4166.399902,41664
ip177	,33874.601563,338746
ip178	,12550.000000,12550
ip179	,9829.500000,19659
ip180	,66908.500000,133817
ip181	,33874.601563,338746
ip182	,7583.000000,22749
ip183	,33874.601563,338746
ip184	,81083.000000,81083
ip185	,81083.000000,81083
ip186	,13600.000000,13600
ip187	,33068.667969,396824
ip188	,92342.335938,277027
ip189	,12550.000000,50200
ip190	,33874.601563,338746
ip191	,274.000000,2466
ip192	,12550.000000,12550
ip193	,81083.000000,81083
ip194	,300.500000,601
ip195	,12550.000000,25100
ip196	,12550.000000,37650
ip197	,33874.601563,338746
ip198	,33874.601563,338746
ip199	,30341.355469,940582
ip200	,5852.037598,310158
ip201	,276266.000000,552532
ip202	,311.000000,622
ip203	,30824.000000,339064
ip204	,0.000000,0
ip205	,21574.666016,129448
ip206	,33874.601563,338746
ip207	,13377.000000,13377
ip208	,9829.500000,19659
ip209	,290.000000,1160
ip210	,33068.667969,396824
ip211	,4971.000000,14913
ip212	,31679.000000,316790
ip213	,7383.000000,7383
ip214	,130482.000000,130482
ip215	,20084.000000,40168
